"Sample","VCAM1","NLRP3","S100A9","S100A12","PTX3","CX3CR1","CXCL10","CXCL8","ITGAM","CD14","BCL2","IFNB1","C3AR1","CCL19","MYD88","SOCS3","IFNA2","PDCD1","HMGB1","C5AR1","ELANE","IFNA1","P2RX7","ICAM1","HLA-DRA","CD177","HIF1A","MMP9","OLFM4","PLAUR","TNF","GATA3","CCL2","CALCA","IFNG","MAPK14","IL1R2","MMP8","ARG1","CCR2","TNFSF10","TREM1","IL1B","CCR7","LBP","CCL25","CRP","IL6","IL10","TLR4","TLR2","S100A8","LCN2","NOTCH1","FCGR1A","Label"
"INFG_145",3.61218404191726,12.5966793255594,19.2829293066196,14.3117819709505,8.27161251766511,14.8523553096916,6.58040688077527,10.1385623259981,15.6132173291045,15.605565367813,13.2304129267984,0.515156107849009,12.2052375770834,1.33929560176365,15.6358789034176,13.6395185597094,0.00120133577838999,9.45452332574431,14.6795660844136,16.8627132809766,9.19838047079893,2.4211333022464,11.8898650211524,12.8435098531537,16.7865605854502,12.8036711358371,14.5754710451605,15.3713131862565,9.52820121131695,13.9613877354458,10.4871848454208,11.6699794198878,4.64525010196074,0.0832248693533955,5.77826869724329,15.4432375206544,14.0556180771752,10.9805698240716,10.9568490143816,14.0235522750757,15.0382754733422,15.2669408208454,13.467695079138,14.4805323553096,2.39005933100821,3.3326880655336,0.165107283064218,4.35610218622363,5.23896620504383,15.0185013929102,15.5760353829437,16.4794401798514,11.2422294873684,15.638905534692,12.4811610983072,"Healthy control"
"INFG_146",3.41694772145633,12.6114223885523,19.5696785351124,14.8887313416902,8.73333324668689,14.768501519326,6.68213912951618,10.6638737305566,15.6955993230314,15.7096339471197,13.0897621257168,0.543902038824166,12.44724868991,1.33855552301498,15.8240656541148,14.1055274778318,0.00111087453473413,9.80298736458716,14.8895156245391,16.6654466820649,9.3253661259537,2.4211333022464,12.2362342209712,13.0731201289096,16.8384109593194,12.8934002613914,14.3758417956634,15.4837394665518,10.7360305550596,13.9512654476413,10.846632583175,11.6344950517326,4.2726024343904,0.0828036472980291,6.2592245482297,15.5309992123039,13.9252373706747,11.4343883999414,11.2471032389865,14.3810796427323,15.1465608199209,15.2152578044666,13.3938957977299,14.4481260371918,2.38787125993707,3.23684682252534,0.164425125970661,4.3634916998287,5.09982111926942,15.049081739878,15.7262819457363,16.7129207322397,12.0109164460832,15.3546361822701,13.3162887722723,"Healthy control"
"INFG_147",3.7162778969431,12.7748725092979,19.0807401386669,14.2380544908532,8.68826118328694,14.8706368742073,6.22283035918352,9.447146869339,15.7351671313233,15.9095009492524,13.3701540361981,0.512168036303921,12.4708791069568,1.33827316554206,15.7299761405164,13.3413522446774,0.00107373500035912,9.65466444325418,14.6161044373452,16.5451921057476,8.87979765754486,2.4211333022464,12.0053200831655,12.8021882689868,16.7545697553172,12.6666173905342,14.1994220885937,15.2459914505807,9.76971603525021,13.8600630291244,10.6105774078485,12.0248197650285,4.34803604647261,0.0826307114597369,5.26479687864099,15.3594712788339,13.6650232491944,11.0026883659276,10.4489964054426,14.2935398568686,14.7273966791619,14.7776564992025,12.824189162661,14.5206678277284,2.38703170876617,3.15331847241141,0.164145061317544,3.99672646502502,4.87782425168239,14.7390017584177,15.525577209359,16.2552081316968,11.3814261422546,15.37703005519,12.2653075593003,"Healthy control"
"INFG_148",3.41461566017961,12.4793604024287,19.4043990057604,14.3432533792404,8.66211458856732,14.9621296715594,5.78621324687601,9.51990363443875,15.7724330828278,15.9073868758152,13.1191680491368,0.512040295606496,13.2855377382343,1.46912216757892,16.0023356695537,13.2323415603458,0.00106828003981629,9.79311263980346,14.5813716159817,17.1362332785596,9.55974793526164,2.4211333022464,11.828546166787,13.0050023825699,16.7081325814337,12.6923852434689,14.5283730798136,16.3218926886773,9.96876321441465,14.3567676721504,10.9250750141615,11.5166134020567,3.80735807213125,0.0826053110827476,5.88953958286887,15.6028180424795,14.0422183956354,11.1991663812395,11.3370234376659,14.1773440027458,14.9801882991811,15.1442366175103,13.2756668530237,13.9903973148373,2.3869112120254,3.15312707612022,0.164103926132143,4.43271969451115,4.87645037014319,14.9603685135755,15.6811802503302,16.4520459201612,11.8911741491239,15.5708145635723,12.5915599061481,"Healthy control"
"INFG_149",4.12625757755779,12.7708630147835,19.9690002414858,15.2356433523484,8.80478603091762,14.7501691569306,6.45862659248738,9.80774876113199,15.8011550193085,15.9096096817372,13.0101835938831,0.513121414978542,12.7843820569289,1.41078665133231,15.782509951543,13.5698123251992,0.00111444749964296,9.46580130819036,15.0237880840343,16.7406911072964,10.1990526289225,2.4211333022464,11.9392530721395,12.9325829566623,16.9205794562717,12.7474376158657,14.4960305714705,15.6143977007956,10.5282426516842,13.8868926810887,10.5149427677514,11.6432547979285,4.03964134306557,0.0828202843854933,6.46828738367686,15.5218317461214,14.1827747887134,12.0986669028214,11.4610703213018,14.4998406828481,15.1403884385832,15.11106242291,13.3148351533071,13.8576443280562,2.38795380523354,3.4459021490964,0.164452069258851,4.14107724194614,5.42346520050213,15.3187029346651,15.5012763323198,17.5251327264565,12.4391927480405,15.4049710317903,12.913718581368,"Healthy control"
"INFG_151",4.18379676525978,12.7075719985435,19.2715986223865,14.2900602705827,8.33656674036433,15.0684307285449,6.53927601849639,10.1077523824906,15.7751178048485,16.0314446597253,13.3154849450306,0.510442041147911,12.9087210786184,1.3377480331724,15.8247513960422,13.7756306401783,0.00100002915983266,10.1982878313411,14.5822481838969,16.8764565864495,9.36517029075203,2.4211333022464,12.033912937527,13.0420202519761,16.8538289305902,12.5627238794665,14.413568203927,15.3687132218087,9.698648270307,14.0330285951556,10.6291777720763,12.1112786369877,4.34726326805799,0.0822875089524051,6.06102701907332,15.5426868203621,14.0398381743819,11.0940273233986,10.7410236928723,14.1692273860929,14.8599537692411,14.8441252558745,13.1711295976254,14.3252266057272,2.38546319246146,3.34966563439523,0.163589254654716,4.50957468620241,5.62137914438941,15.0188260194146,15.5163039997826,16.4182780343307,11.6697706389336,15.5233444314205,12.9982793311305,"Healthy control"
"INFG_152",3.90757136758705,12.4609557392271,19.4671732557637,14.3757612783314,8.27657717738216,14.8649629797402,5.82734584870284,9.96244428375713,15.6986541209344,15.8036833127381,13.2645976518147,0.511066448858857,12.6502443538653,1.33793272075093,15.8473886206852,13.6050002795244,0.00102669348447249,9.26775701570363,14.8118773850775,16.6806418348487,9.19407997788816,2.4211333022464,12.0617044821519,13.0861787030063,16.7706474290477,12.9362255816462,14.3797050547559,15.184660994274,9.88531007587372,13.9064923308539,10.7360384156711,11.7530135683648,4.12799165311731,0.0824116682185814,5.69025763205511,15.4461640026578,13.9824492131136,11.2343834253982,11.1230670308027,14.1563270839781,15.0886947200036,15.1001315949465,13.0327288314523,14.4305542107196,2.76791214236165,3.15170492335285,0.163790327041771,4.11555027646132,5.06303735843712,15.2028891786622,15.6547878192214,16.865528291356,11.7059299964431,15.4530450722138,12.6344873091252,"Healthy control"
"INFG_153",3.50188155819866,12.2345943239988,19.1356885604961,14.1357607061954,8.29733063438963,14.9820217383834,6.5222847001043,10.0233085306983,15.5655862240224,15.6726568855577,13.5617374751146,0.512179795136115,13.0283842286602,1.40684103064979,15.6304043204578,13.4630270365759,0.00107423714233068,9.98200470133459,14.672812037166,16.4819096523652,9.39935455565456,2.4211333022464,11.8380647856067,12.8905407442562,16.7681878179009,12.6634723262273,14.426517653532,15.013447878701,10.3478857891127,13.7319779767778,10.9837506131022,11.9913165969322,4.14761577478012,0.0826330496242895,6.10291536695928,15.1613781362257,13.8482435162763,11.3970227770227,10.8235181980368,14.0365316658996,14.7169308076307,14.9313111416327,12.8553921603021,14.5472832287824,2.38704283675373,3.30381821085617,0.164148847908287,4.24379239680627,5.08357661416058,14.8830919373502,15.2058504817257,16.2795587246308,11.8800374332348,15.2566300839477,12.5420193952863,"Healthy control"
"INFG_154",3.73653916229605,12.2435602377508,18.9398762470603,13.9254568450953,8.71326242105648,15.0427375759375,6.54193258801425,9.83053064113118,15.4351781574273,15.6834942175048,13.1787330463947,0.513427335019121,12.7617515763242,1.33868599128377,15.641344640562,13.2446841183169,0.00112751132177857,9.99134220190262,14.5225611232798,16.4024410853703,8.99649035988771,2.4211333022464,11.9713244996448,12.8034941945559,16.9843363944649,12.6771385033954,14.3758618800664,15.0539686897759,9.51131481401818,13.5931115508338,10.6107542821829,11.8774012957466,4.38018263184459,0.0828811145243287,5.94192041261475,15.3042856345095,13.6018059359223,10.6234970056133,10.4346818542226,14.2032709620236,14.5119205772508,14.4667798174193,12.8004395764233,14.3464393329609,2.38825829671823,3.71877392114585,0.164550581932107,4.32046666502565,5.3607865148899,14.8218008367292,15.3949142676032,15.9851275854798,11.0475420173405,15.1364091265926,12.4197240545755,"Healthy control"
"INFG_156",3.64764256979653,12.6459063664463,19.1374103522587,14.0719429095547,8.53016120015558,14.7034911311462,6.90419001035211,10.1753295726081,15.5238516247603,15.699471130173,13.2542489949914,0.511903231960005,12.8747711142249,1.33818959562854,15.7233124302078,13.5881005817557,0.00238043684016764,10.0927275361778,14.6166662899238,16.4186339212487,9.18609930288279,2.4211333022464,12.1643560975539,12.8877076413448,16.8759127424457,12.6613020357044,14.2973058872975,15.0747474409019,9.80224931767894,13.7381359425633,11.0234243642789,11.9542690272638,4.4661519490427,0.0825780569001524,5.76209984379416,15.2438006219493,13.854941271139,11.1792892046629,10.4890211133628,14.2394440081304,14.7366463470035,14.812858278458,13.0282812632663,14.2112817380801,2.54034308685035,3.15292297134803,0.164059788761487,4.29061861870166,4.87498208521259,14.5061258046596,15.4795870441523,16.0597648312931,11.5848149598094,15.2003322527743,12.6935677601441,"Healthy control"
