"Sample","FCGR1A","CCR2","IL8","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","IFNA2","IL6","BCL2","CALCA","TLR4","ELA2","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","LBP","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","IL1B","CCR2.2","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PTX3","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A.1","IL8.1","IFNG","HMGB1.1","BCL2.2","IL1R2.2","CCR2.3","VCAM1.1","NLRP3","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.4","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM2672577",26.4935,1.1175,183.744,-5.2881,73.9423,-8.4624,1305.4489,90.0064,1.515,788.491,1137.226,133.9645,6604.7485,-3.1895,4.8672,7.7778,-3.6792,721.4514,589.1594,55.9674,-1.8823,8.704,36.6058,1944.991,12041.7734,8.2662,1536.8378,214.3961,1.9383,1537.8313,646.5635,48.5993,2352.2476,14915.2754,80.5278,399.2735,50.1535,151.2784,1.7894,5.4621,85.6179,5272.3926,724.3378,7.1407,353.1075,-2.1511,0.1607,0.8904,-6.1108,166.9105,345.0135,-1.6903,14.5947,10011.4785,25.5058,1532.312,10.7076,8.1797,2.7285,11.2049,2690.5508,1203.8303,668.6591,3440.2559,1.7963,1006.7244,234.6992,461.1796,35.4891,32.6989,114.6888,9.1762,6.2143,-3.6592,64.3614,3.9204,1.0802,-0.7464,701.7062,-4.0162,112.4356,122.4727,4354.2324,2.0337,235.8246,"Sepsis"
"GSM2672578",147.1528,-0.2524,194.7169,-5.8696,80.2768,-7.283,1491.1097,45.4938,-0.7752,4455.6387,868.4781,220.2039,1404.6984,3.2382,8.7722,0.6377,0.0976,454.3297,61.3073,212.7494,1.7061,10.0842,238.3773,2098.2122,13429.5195,6.3097,225.5381,204.9904,5.7413,1274.1383,1817.0861,170.1797,2884.1482,16914.8906,4.1699,119.7756,161.2724,143.8202,0.8669,1.5069,308.2236,1364.6061,282.7606,17.9165,2383.4912,-2.069,3.878,32.8129,0.0745,181.3768,439.6691,0.0601,224.2882,3584.8103,82.8577,1741.0787,3.8358,2.0945,-0.4952,11.2989,199.0963,967.4565,2000.7013,239.2052,8.0537,5485.7422,1049.4164,509.8228,91.5955,62.2377,151.8386,1.9393,43.6971,7.0391,95.7209,2.6818,-0.1191,1.371,794.0677,3.5272,112.3547,128.2813,10430.6895,14.9432,337.5486,"Sepsis"
"GSM2672579",332.0728,-1.0919,49.4668,6.533,101.7918,-3.2541,3506.9407,50.5801,-5.629,1748.8872,1619.3123,98.706,20178.7305,-2.8949,-0.2724,7.8798,-5.9973,838.6168,46.5613,75.3225,-1.8148,15.0662,112.2877,1016.2778,17899.7852,-4.2123,3187.7036,825.9054,-1.6593,1460.0154,3555.5073,4.9845,7488.9194,20937.5078,80.7462,235.3247,87.5294,233.6403,6.1625,5.037,41.2851,11690.4258,344.1516,670.765,360.6469,-0.5399,-0.5313,192.2061,6.0214,432.7687,537.9728,3.8551,111.9697,14472.8955,18.837,1511.6807,-0.9073,-1.5936,4.7187,-6.9587,2884.7751,1057.9063,35.4658,3811.5105,52.9025,2300.5784,3351.665,139.875,5.224,59.3327,43.3844,5.724,0.6737,-1.676,354.5873,2.1538,0.6779,1.9429,335.7987,-0.6975,257.5182,354.7255,15222.4102,1.8904,102.137,"Sepsis"
"GSM2672580",317.3059,1.2741,433.0101,-1.6406,228.8529,-9.6374,2701.408,44.602,2.6821,4216.0664,1192.1429,415.5598,1094.1709,2.0088,-1.7023,-9.0161,-8.7876,966.778,30.7513,83.8022,-1.0927,11.3348,391.4369,2492.6348,17788.709,11.8689,431.7195,694.2031,1.8144,2394.8997,2496.5083,65.0519,2943.0215,18894.1973,4.0311,387.5861,177.4897,314.8737,3.7409,12.2072,183.4376,8402.209,742.7493,258.6384,3297.1157,3.4248,4.7456,138.523,7.0234,121.119,1634.5466,5.4859,1252.0549,9892.0352,24.8064,2693.3511,7.721,-5.5005,9.4503,2.9972,81.3632,1006.1483,645.9957,26.1638,21.8297,3893.5505,2786.481,975.4108,9.9898,35.4765,38.3527,16.5897,40.5273,-0.2365,110.0276,0.9132,-0.3511,-7.0164,1730.39,-1.3944,233.8428,526.5986,11353.3682,11.4526,518.1732,"Sepsis"
"GSM2672581",1168.5934,-5.3406,54.0841,2.7898,128.1281,-4.74,2333.9961,8.0868,-6.7783,5639.4023,719.3816,122.4977,3477.3174,1.2247,14.9892,-4.5065,-3.0161,706.0693,140.5562,51.9299,-6.5634,2.8831,49.8738,2025.8473,18066.4746,-4.8221,811.0186,597.9564,4.9782,1656.6006,647.5891,5.4649,3845.2937,17419.2227,64.7484,214.0148,56.2747,272.0725,0.9206,4.2609,107.4475,8550.9092,576.9272,370.7577,2091.9363,-2.8187,-2.3478,326.051,3.5398,235.899,699.4162,0.7133,860.7365,11901.9697,23.8092,2734.5728,-0.0778,-1.2979,2.2589,4.0848,427.7389,796.0416,147.528,2241.7461,35.9708,7066.5835,3590.1375,123.5217,10.8192,31.6102,56.1418,17.6366,2.9793,4.0692,170.8189,1.4646,7.7735,1.2891,316.1775,-4.6319,256.8122,312.1329,4796.877,3.1669,134.0066,"Sepsis"
"GSM2672582",385.6267,7.2758,50.8853,17.1332,211.213,0.9064,3266.5281,8.0237,0.5292,2938.7676,856.3665,119.3437,4682.2593,-8.0009,6.5809,-2.2783,-7.0351,995.0366,40.6783,204.9443,-3.4451,4.9647,91.3585,1172.3296,18301.7344,2.4368,2508.937,437.7265,2.0284,1823.0874,1661.6954,52.2762,6130.2188,15313.415,76.8987,244.3323,180.6497,250.1647,-9.2591,10.3232,236.9181,10482.3818,510.2927,411.0218,1153.9783,-1.4552,1.9103,59.7044,-3.3211,137.1468,805.4354,14.0832,438.9174,12470.8662,22.6732,1821.7068,4.7683,-6.9047,2.7369,-2.1356,554.5313,845.8238,646.7001,2209.0535,38.9906,3703.1272,2260.9531,122.2682,27.1152,45.0131,99.8208,23.3799,35.9223,-1.6293,50.596,0.8601,-3.1024,11.4839,530.9028,-6.4586,336.5552,502.0316,11605.6553,12.2949,161.5141,"Sepsis"
"GSM2672583",322.0186,6.1638,46.0673,-2.8596,208.6868,-4.234,2707.1511,34.3331,-5.1583,1636.6448,1186.9883,188.9034,9683.6309,4.6384,12.8523,-0.7882,0.5595,859.3648,17.0065,46.1174,1.6209,8.6659,134.5901,1353.7253,18864.0762,6.2593,1548.2076,368.2474,-1.9809,2135.1111,2307.8032,20.6454,6399.4438,18934.3281,66.275,330.3517,97.2054,363.7113,3.9397,4.074,50.8019,14396.5039,696.8096,632.2911,1618.8973,-6.3485,-1.4902,171.0613,0.4598,323.487,501.1464,4.5371,825.3039,15305.3926,37.7493,2665.5623,1.5889,-2.6385,14.5572,-3.7155,1718.1486,926.4725,418.4691,2452.9966,48.5647,1601.0518,3106.8052,182.826,21.1659,16.5844,88.8586,5.2818,3.4823,1.1294,466.098,-1.1247,-0.1246,-10.4158,524.4942,-5.0725,476.5954,280.4919,12625.5225,12.4889,180.6,"Sepsis"
"GSM2672584",199.6659,19.1176,82.0023,-4.7216,137.2617,-5.9948,2534.5938,35.7763,-7.5416,2048.7668,1135.7311,209.2138,1198.2817,-6.2084,20.225,0.875,0.8501,795.251,163.5222,546.1856,-5.1907,-1.8559,269.8836,2128.4197,18865.2344,7.3453,1216.0245,402.6703,4.3559,1885.8397,3091.7461,64.9896,5125.9131,18429.5195,18.1191,368.7778,175.2496,223.6591,-0.7999,11.2535,221.3377,10841.0117,472.1911,448.2747,1096.8748,3.0504,1.9024,118.6916,-1.7965,472.2459,685.837,-0.3341,156.2691,17779.4453,88.6497,1635.465,1.4732,-6.507,-3.1829,-5.2305,1441.0214,1167.4303,778.7085,450.1236,21.3591,1783.9474,1238.2599,239.6729,24.4982,70.0377,240.122,19.2779,19.92,2.3425,111.1767,7.5146,11.9039,2.9337,861.6227,-2.8424,275.5405,255.2494,16386.832,17.1947,309.53,"Sepsis"
"GSM2672585",272.6309,6.7211,166.1633,-5.5044,162.2903,-0.6442,2073.1011,16.3345,-4.3844,6433.2925,1090.2725,311.6123,1010.028,-4.9992,-2.2508,-7.0244,-3.3784,750.9101,88.7969,390.2682,-1.7489,1.4526,243.9266,2591.999,16596.7402,9.968,289.5786,356.4335,-3.5322,2166.7649,4320.7231,130.1058,1263.561,17149.2324,7.1945,297.2061,300.1079,268.7126,-1.1433,16.3433,568.2105,7227.6553,527.0193,161.9202,2280.4629,-3.3234,-1.8321,75.5658,8.5041,499.8298,823.3411,2.4483,467.62,4747.9155,57.7487,1735.8838,3.7283,-3.5115,1.5371,4.2603,507.8621,759.778,1852.73,417.5896,29.4606,6219.6719,2056.4675,309.8256,4.6201,61.0767,153.7824,4.8218,150.1772,6.5819,189.6156,1.9334,3.1919,4.1156,1171.189,0.838,223.7616,354.0564,18477.3066,11.9279,526.9441,"Sepsis"
"GSM2672586",136.3434,1.5431,27.1446,0.8833,163.3766,5.9378,2704.7156,26.1944,-12.1261,3292.2083,1369.2408,213.5305,10476.3545,-2.9947,-1.7534,2.4738,-0.3347,607.0997,375.5731,42.9108,2.6832,8.4897,106.0288,1240.4131,22698.8633,-9.8172,3801.3394,664.4191,7.7419,1756.7848,4706.8799,25.4303,5197.1563,18204.0977,194.0047,311.2827,84.2427,278.9778,-3.897,13.9309,57.2008,12522.7568,398.1749,644.7682,367.9038,-4.5841,-5.6464,99.6643,-1.3412,536.9703,865.8246,1.0715,141.1489,14622.9365,47.7934,1428.7178,3.7188,4.0422,2.3454,9.8957,3578.0408,984.3877,232.7653,4270.5781,43.1813,3325.3394,1567.0851,15.8379,9.6909,27.7076,67.8276,40.3386,8.3195,3.7663,202.3226,7.6512,-7.3469,7.6386,620.0657,3.3123,339.3185,496.4092,20398.5039,14.6628,170.8079,"Sepsis"
