"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM5609189",10.9202313456465,8.38448200986856,9.60007268743553,2.09311772851771,11.7541869612516,8.57705523949179,7.24370550294598,7.07622558563614,6.91177310148204,11.33600016446,12.3921399748772,10.586323839691,7.49680243728509,2.09311772851771,3.07975656474592,8.8862745688986,2.09311772851771,7.65373547500876,4.32723247499811,2.09311772851771,11.4948056060287,9.28688025602263,2.09311772851771,10.2722102728243,10.1874825364221,11.0711367081415,11.3882977663509,10.6454431541418,7.35765869056053,3.96990842075601,9.95698122377098,12.4952676328868,5.29229474217401,4.84011639735691,7.79524748288293,13.6603719944408,15.5216701967554,10.9895829647082,2.09311772851771,2.09311772851771,2.09311772851771,13.1733827693689,12.490594697486,5.95834108797264,7.5616401935586,12.5803161677491,10.6228447451923,2.09311772851771,11.0402037121171,2.09311772851771,11.4718074205973,8.20338101671986,10.7620550016781,"sepsis"
"GSM5609190",10.1034127977711,9.25016696887635,7.06320125901994,2.09311772851771,13.2405312847476,7.96800976787269,5.99158428734115,13.1720183086663,4.01350510783927,10.8017655699321,11.671921316512,10.220824478045,10.7168653124131,2.09311772851771,2.09311772851771,11.3721895286489,2.09311772851771,2.92472725014515,5.47765668940899,5.21690185492565,12.8618796823722,10.5487879581954,2.09311772851771,10.2744344869862,9.15378800740501,12.5712335117583,12.6876710886174,9.97140928415217,7.38611337890726,2.92472725014515,10.1015002523938,11.8350392524918,14.8759641296567,4.5728692253684,5.81515603245108,16.9203150868224,18.9008308060673,15.512623299082,2.09311772851771,2.09311772851771,2.09311772851771,14.1331293723582,12.5145097247298,5.52449610802414,11.7496915632459,12.6413620359475,8.29033173665202,2.09311772851771,15.316664521661,2.09311772851771,13.5098573944529,12.2622761087014,10.5529926854366,"sepsis"
"GSM5609191",5.4292595361155,8.74224998235454,6.34306877515907,2.09311772851771,12.0129987810106,10.8741793050445,4.66124503091478,10.2013659643115,6.53711940232316,10.700586576857,12.1763603657675,10.1243387367623,9.0973773382637,2.09311772851771,3.25399101571701,9.79572159872898,2.09311772851771,4.82242799532519,4.26656361116506,3.25399101571701,12.794871239421,5.77713987091586,2.09311772851771,7.60726957599775,8.22862550854579,11.5018767479482,11.9727615318239,11.1853482280884,8.59775340967441,4.47839331131789,9.97773243526472,11.934596259055,12.6571265892939,4.66124503091478,7.69109125257772,14.3231366571996,15.8369705124937,12.0129987810106,3.25399101571701,2.09311772851771,2.09311772851771,12.8316792770937,12.1075113178106,5.5245409563239,8.20030466457645,12.7375282858514,11.1017088430882,2.09311772851771,10.0938782064865,2.09311772851771,12.3499225152429,9.71795908251531,11.6648694063269,"sepsis"
"GSM5609192",7.56843664988338,8.43421300645925,9.15701243783671,2.09311772851771,12.6257553476714,9.44821082696776,3.06869941150767,9.42074496828879,6.39768127310121,11.723105535453,11.2244572824351,10.5341397481969,9.32141760003539,2.09311772851771,3.44880410722115,10.6713386584005,3.27732635880397,7.47287261842439,4.38073257584589,3.27732635880397,12.6014976708777,10.9951655862727,2.78939977718071,8.32902452503598,9.82380119740941,13.1610363773496,11.7690658143032,10.6820557710603,7.03342702923153,3.72659317937876,9.68151182349601,12.278593975877,12.7771241733581,5.95286751190985,8.36494656886946,15.3025596616871,16.5722525529698,13.2491054057685,2.09311772851771,2.09311772851771,2.09311772851771,12.909555895619,13.0475184873646,4.91757638067345,9.74592242555886,12.2319492694687,10.583561973951,2.09311772851771,12.2658866067067,2.09311772851771,11.8050532465882,11.423852207153,11.1942059012936,"sepsis"
"GSM5609193",8.58687462294004,9.23770185173495,7.9171520306738,2.09311772851771,12.7501951016264,11.2065231559072,5.91919359135651,11.4227229206031,6.5359225084393,11.5957868242362,12.2255849186349,10.4102352165057,9.23529706859397,2.09311772851771,4.44446882426604,10.0798769727083,3.59091628804075,5.46979984921302,4.69647532049618,6.48814184180745,11.9482744383322,9.4864768230872,2.09311772851771,9.75675886478374,11.2725077468324,10.8622450751729,11.8825662119392,9.59923884163957,8.29978309025585,3.94430430826946,9.05068320546777,11.535495825672,10.0294161889607,5.36704956276768,8.60188743695147,14.2588581128668,15.793912468959,10.9447735298351,4.85895901163349,2.09311772851771,2.09311772851771,13.7311764139673,12.6451974492848,4.75279914169821,10.0878960191215,11.5437788677633,10.7680686505334,3.0650444377128,11.5524976203153,2.09311772851771,13.475068910321,11.396059644151,10.564745093192,"sepsis"
"GSM5609194",5.83420444911671,8.18503196344265,8.41626012139433,2.09311772851771,12.0174266968102,9.86294231633928,4.30921314763328,7.8232288931566,6.6552872977873,11.4508248610755,11.7146253205377,10.7242390848507,9.04036335364717,2.09311772851771,3.35682361309099,10.2180633413862,2.09311772851771,6.92786104679734,4.30921314763328,3.00050464528873,11.1311163496662,9.77950529138887,2.09311772851771,6.72842430063522,6.07824319759777,10.2941882021532,11.4837080192151,10.6525758788643,7.15693645817001,3.83096138039256,9.42782785581957,11.8441509135878,7.29162546099511,3.83096138039256,7.94058249412954,14.1274358389691,15.5205592105766,10.6650280172389,3.00050464528873,2.09311772851771,2.09311772851771,12.6870778121205,12.3733198150839,5.69451553125681,9.67871493526111,12.2923602822055,10.8685042267325,2.09311772851771,10.4225760003534,2.09311772851771,11.7653834118106,10.3081490547852,11.0228094958064,"sepsis"
"GSM5609195",7.21907330359035,7.61733858694168,7.82332812641277,2.09311772851771,13.1301554650442,10.2139062105666,2.91834108674866,12.4750675574404,6.51624052210323,11.2686727047031,12.9781509809133,10.0711526792973,10.2139062105666,2.09311772851771,2.91834108674866,10.020246582184,3.24527227976908,4.1323008985066,3.68427613721896,5.71854016548413,11.7884521555272,8.30783369222018,2.09311772851771,6.97746565155908,8.127142407402,8.20636780636054,11.8944501365764,10.2483426811354,8.95483507298104,3.24527227976908,10.3969510094186,12.1911595185511,9.6852665472177,4.46288126755311,7.70924578486088,13.8213012231142,15.4774454117142,10.4919844126798,2.09311772851771,2.09311772851771,2.09311772851771,13.8298539757186,13.1099318901389,5.90377510822221,10.653593414426,12.2411759092866,10.7989088135488,2.09311772851771,10.3612092802716,2.09311772851771,12.9845488138168,10.4030775675983,10.0242268483675,"sepsis"
"GSM5609196",7.70371288214258,9.00405913303869,6.21237903240745,2.09311772851771,13.2452275208408,10.7074942234183,4.10722537680749,12.5605796476094,5.01633376525638,11.5550315192499,11.9135689523935,10.3102276377381,10.022866158463,2.09311772851771,2.09311772851771,11.1805467757331,2.09311772851771,4.77522674209092,5.83291357531042,7.07942907147783,12.7255446813899,9.46385252226866,2.09311772851771,9.03122045557016,11.9262840501944,9.54146738982481,12.240324764953,10.2935001117538,9.11612068769484,3.15952511717151,9.77630118091085,10.4626500298753,13.1856615987402,5.31423731058505,6.55022724343154,15.6193351359809,16.6656527776806,13.3069527651819,3.86838545798118,2.09311772851771,2.09311772851771,13.4085127814697,12.9119737934484,5.12282693574488,11.8728616582109,11.9226625857912,10.3699541058691,2.09311772851771,12.7624797435551,2.09311772851771,13.3981184386173,11.8115220701745,10.3376829265171,"sepsis"
"GSM5609197",8.13245278102614,8.02524726370071,7.81893586159285,2.09311772851771,10.4230212376685,11.5412081142251,3.65121172704968,8.80953491105682,7.94194761192815,10.5284745274335,12.5506085777432,10.8756356005963,7.7223829001706,2.09311772851771,5.41992678494217,7.87615436832263,2.09311772851771,5.35635015300325,5.48076794836789,7.74713414393864,9.93155849907371,6.50023537759405,2.09311772851771,6.27995066054644,7.60542114889149,5.35635015300325,10.6903171064479,8.71235764633378,8.52474912678669,4.05023990436534,8.20570049493121,9.76589414731677,4.89923560506856,5.14636013864698,9.60939362707299,12.4641794177938,13.6460579174813,8.61489510234955,5.70097338342373,2.09311772851771,2.09311772851771,12.0444191900402,11.1861125920559,5.06875052619836,9.3270987313614,10.0580666616234,10.5758574307716,3.65121172704968,7.81893586159285,2.09311772851771,13.0649617920694,7.70984606340676,9.28969318405821,"sepsis"
"GSM5609198",7.04965782503278,8.87218418937985,6.50131222046934,2.09311772851771,12.6541197036003,10.4029612647091,3.66379058728914,9.67939798199393,5.51664399012925,10.9804244983875,10.795878646008,10.8305334495295,9.03442468612857,2.09311772851771,3.46882367211153,9.64965515227206,2.09311772851771,3.46882367211153,6.03162794545034,2.90698324632787,12.4402378421869,12.3285292897315,2.09311772851771,7.63989551279197,11.4467788043227,12.4168863512187,12.0992844236564,9.70130947109758,7.5134319902932,2.90698324632787,9.7834910556291,11.2861115557936,7.4107238153239,5.37701433137946,7.04965782503278,16.0009812037076,17.1977226054714,13.714005062897,2.09311772851771,2.09311772851771,2.09311772851771,13.0983406832847,12.7912510711679,5.47161383777761,12.0215904039127,12.6591040618764,10.210973923902,2.09311772851771,13.8397839211345,2.09311772851771,12.0060256999681,9.54852421634896,11.1713127655552,"sepsis"
