"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM5860267",4.57177653250198,8.38415274365186,10.6682078314686,2.48302835331681,11.6476981251934,11.7941834744832,4.11510557383948,7.7666488444474,8.86824376691144,10.6460081387291,11.8515706665721,9.26775339966862,9.11319994636153,3.08690198346904,5.13501329575651,8.80552335461934,3.51450991295878,5.93924254560339,3.6661762326497,3.331022580985,11.2639340301775,7.27700553482279,2.48302835331681,5.13501329575651,4.90775914826378,10.0303865461579,11.2621836994445,11.7544782579431,8.21103111482951,6.23591646128205,9.76465775583141,12.1683496974413,4.63407540431567,4.4373263531359,10.8539838214004,10.8709277567632,14.0004913698277,8.39271317263238,3.331022580985,2.48302835331681,2.48302835331681,11.6747046429887,12.2421285145084,7.057405476219,8.42645554073468,11.8792400256603,9.96589396841178,4.4373263531359,10.7260714936114,4.01886033710587,10.4752113234874,8.84971236364064,10.6804920488928,"control"
"GSM5860268",6.07825653002777,8.63249104701829,10.0370934921133,2.48302835331681,11.602807670572,10.9206016929051,5.27799055601948,7.92671261710753,8.2946387368192,10.8537962437072,12.5414850539907,9.60021296449916,9.40317501346371,3.25153028731991,4.27113266410781,9.20101648098706,3.67809218960586,4.96799623968254,3.41891804068074,3.41891804068074,11.737920734233,8.3131814609478,3.02961404163919,8.14533288546912,7.06153916738755,11.4139108961206,11.1222304836687,12.0219129145611,8.16588455231147,5.58154304970874,10.3710812260148,12.5189045868783,6.69294839738815,4.66563358877995,9.93186654069524,12.9327559508022,15.2450301546564,10.4964121224116,2.48302835331681,2.48302835331681,2.48302835331681,12.2247436236648,12.4591934599182,7.17145527044413,8.70729176713836,12.5024411423715,10.2985098273121,2.48302835331681,11.3574259445867,3.97138292758373,10.6646492789121,8.98214592824729,10.9224139507573,"control"
"GSM5860269",3.61364281385019,9.30669946313396,11.247830654841,2.48302835331681,11.2240584886207,11.3702345068121,3.7156570039945,9.04574578573091,8.86525231890957,10.3129646641507,12.5422035595085,9.62982842577253,9.2581494544389,3.36746711383074,5.02784099607825,8.72937539081361,3.7156570039945,6.81748406503741,3.61364281385019,5.0603707681424,10.8483462572349,5.90194391967345,2.48302835331681,4.55981801022689,4.41098948775292,8.39650037206154,11.163991964307,11.3820006557232,8.93294638008957,6.53131701835229,9.61261962401434,11.2357774133639,3.7156570039945,4.46255865297716,10.3629008372033,11.4562269431182,13.9334216858872,8.6009966274061,3.2088520781043,2.48302835331681,3.2088520781043,11.6228318172914,11.5819295791846,7.36547379735574,8.25347923634668,11.3816099928933,10.2569843355702,3.36746711383074,9.53604874615297,3.4992201215542,10.6793697826945,8.6995905911355,10.2906660681174,"control"
"GSM5860270",4.0747717688275,8.72091913695242,10.5076678763351,2.48302835331681,11.843478519551,10.2821400450107,4.39082537281513,7.35525169380771,8.1238268206867,10.6683832355038,12.2967871530121,9.31724704177442,9.02384546299154,3.73940387848042,4.59608215611279,9.15151138250975,3.5191662464293,7.84082065404409,4.14500019877497,3.91991489248837,11.169859819812,7.11762803221368,2.48302835331681,6.50138411493711,6.23799109917509,9.17799348111526,11.134080685139,11.6244220265566,8.46232641682039,6.46483699785286,9.65011257924384,12.1095209561525,5.19632444712949,4.59608215611279,10.8273858785602,11.7859238179217,14.6573562459102,9.17799348111526,3.5191662464293,2.48302835331681,2.48302835331681,12.6170381006909,12.860095827861,7.17141667720014,8.54314048862116,11.7604921276,10.1383272344783,2.48302835331681,10.9498857775424,3.5191662464293,10.740588007659,9.03423655678857,10.2968855056813,"control"
"GSM5860271",7.71964329032649,8.69673528581334,10.8295232014949,2.48302835331681,10.7034725547256,11.3864427274537,5.17922418998282,7.18919380150031,8.97580810252663,10.1293583384601,12.5183260001063,9.6171433637278,8.03102178890863,3.11205477060884,5.38354771008981,7.11234777954901,4.07801115442406,4.71061178697967,3.71343952344049,4.77151933563898,10.6345920936308,6.85358452592649,3.36583141838974,9.52288022380629,8.61166699527333,8.88974419135521,10.6694433759823,10.4730107264765,8.75198686057666,6.41477681864598,8.37405458132476,9.53132598763171,7.52176990813798,5.38354771008981,11.2751941463581,11.2181411946955,13.2895748759195,8.99730727725795,3.11205477060884,3.84912942605209,2.48302835331681,10.4893579175894,10.7081359786971,7.41617810440112,9.07157532890169,10.1251798557098,10.5908200192527,4.50877490981433,7.63590705729418,3.84912942605209,9.88272518810008,7.86044141347714,10.4091450948695,"control"
"GSM5860272",5.72427375693224,9.06727831749061,10.9008824407526,2.48302835331681,11.1242666485967,11.1813123586324,5.86795755440779,8.06950715499058,8.6999544597243,9.72267384851576,12.6049394615313,9.67372672766799,8.90001573246517,2.48302835331681,4.96908168491779,8.23240450835834,3.9464658205436,6.3992170460988,3.01980012734706,3.76304306421813,10.6421228538715,7.35450379614221,2.48302835331681,7.53603225180371,6.3018915529571,8.18271897256946,10.8157156667963,11.1237605723507,8.61894324904418,5.80815732420025,9.35289502127817,10.7463986643351,4.58312280973717,4.02778877250665,10.6463572925712,11.2717975726753,13.7034572609738,8.50850284372474,2.48302835331681,2.48302835331681,2.48302835331681,11.9948541102066,11.4747266574058,6.97748741379076,8.23240450835834,11.016075988544,10.4988283788464,4.10368811629851,9.55711736810581,3.40247653179518,10.5509548664735,8.49916623307928,10.2460954538392,"control"
"GSM5860273",6.30779348777902,8.94346046837529,10.9883824941854,2.48302835331681,11.5488996478783,11.4008588768418,4.584975231749,8.83438181290218,8.88829921200151,10.550083786146,12.3313202245234,9.62566625954966,8.7640207154317,3.36840028900151,4.77723123929033,8.82749817560443,3.36840028900151,5.81372576347295,3.55934449854532,4.08236087273811,11.1039625737275,7.21843376243817,2.48302835331681,6.42236091892583,6.47637714803348,9.24151518780988,11.1741393675444,11.1788789124409,8.62404705462495,5.534592371732,9.48184362037108,11.473198835068,6.45859733318941,4.08236087273811,10.8381151551899,12.1222603004821,14.2464755582727,9.3559559220613,3.36840028900151,2.48302835331681,2.48302835331681,11.6078294298428,11.9867337232881,7.46035401240758,8.3443354036106,11.3938872797244,10.639251420281,3.55934449854532,9.55450490429867,2.48302835331681,11.0384161864765,9.302354574242,10.7073809698981,"control"
"GSM5860276",5.70091809541013,8.88328166904908,7.99588665698999,3.45674790208476,13.2682592011471,9.13026845643953,7.05105640834549,11.2754599367213,6.08805781418591,11.3978807804283,11.8649207437732,9.72610243496279,10.8981766546802,3.60068607271307,4.79103595441874,9.94965192075963,3.28295704590551,5.01136707470706,4.5266867322036,5.70091809541013,12.2804129091728,8.80864693954618,3.05223777966198,8.28409670165412,9.47937341703672,9.70796646355737,12.1210808138528,11.9115589834259,9.10045276401968,5.59831836398815,10.3696266463427,12.4390821818318,9.38740168655516,5.23582464456195,8.81430985107377,13.476536553604,15.8069934360683,10.2711637045893,2.48302835331681,3.05223777966198,2.48302835331681,14.0404917510117,13.8562834392265,6.55030580618586,11.9608904190248,12.4434275351006,11.8290126034952,3.83621059544705,14.0450136769145,3.7253502305446,11.5862975142376,10.8229353394216,11.5867111120192,"sepsis"
"GSM5860280",10.5122852288376,10.6081458220417,9.28616537065115,3.42652977175769,14.7359789754114,7.20198193315544,7.4876960169534,10.4395071967294,6.10749976683632,12.0866010534534,9.72042934224201,9.91255262169055,10.3061146184222,3.15601897877651,4.28450009797923,9.75806879734551,3.15601897877651,6.45334333059172,6.81357520956021,3.62892041245019,13.7395128270983,12.7995323011558,3.42652977175769,10.4650199341048,12.9548151469575,13.9153344760695,12.838118466957,12.4013603294743,8.43796902198853,4.06590352858035,10.0076338523114,12.8147435919588,14.1469509258535,6.93565738969726,9.52565256208689,16.6252614617358,17.7324201250046,14.3504166069494,3.15601897877651,2.48302835331681,2.48302835331681,14.8809767599199,14.927542804126,6.78136093881264,9.31170317599866,12.7727119626119,10.7977827485839,3.62892041245019,16.0163401866786,3.15601897877651,12.2804775399957,11.8315173664157,10.3505948530678,"sepsis"
"GSM5860285",5.33641579104683,8.99240827440712,9.88008147080465,2.48302835331681,13.6986451225574,7.63535263116839,6.59893309345492,9.69951436810732,6.53928334957098,11.64673299547,10.7909941857151,9.9426027695091,9.51894576841988,3.4502378586723,4.82460262853758,9.43987512216681,3.4502378586723,4.82460262853758,5.13213918079022,3.97389402058897,12.6681204239691,10.5537547422577,2.48302835331681,6.63736337912292,7.48578831578618,10.9344181352018,12.0941824867548,11.6889461288835,7.8707399604693,4.59918118655219,9.28862463526703,12.209111330504,10.6772456050513,4.67869299539797,9.77876485897362,15.8206747213008,17.1882780560657,12.6896404534694,2.48302835331681,2.48302835331681,2.48302835331681,14.1668022774034,14.4894959628295,5.07595159834872,8.78622579992354,12.1798073509363,11.6642306119615,3.82745276589367,14.9628348134294,2.48302835331681,11.6607480250713,11.9916486982829,11.3514847365579,"sepsis"
"GSM5860287",11.1141808343428,8.68046702352184,8.55605176070923,3.16040152078218,14.0567567638382,7.63890532920512,11.1304286217844,10.1399894476944,5.92786611107355,12.441055316336,10.3051153527198,10.0386024330927,10.1479923158147,3.16040152078218,3.8036587037897,9.51007590791134,3.16040152078218,6.60694936621845,5.38597062550677,2.48302835331681,13.719495357769,12.7122140696093,2.48302835331681,11.079452973599,12.7365655108809,14.5987223975071,12.4024394368826,11.6121835735065,7.27924886331797,5.38597062550677,10.3008146519113,11.8252992364423,11.1416941676418,7.07918419591946,9.15728722571612,16.9948981814527,18.0275202742236,14.9333542604143,2.48302835331681,3.43257015501873,2.48302835331681,14.1461692275941,14.2233729575048,6.90844741920875,11.1835627595294,13.093883794241,9.56371019822246,2.48302835331681,15.3131221263755,2.48302835331681,11.5367784386092,11.6179569208177,11.1504843643481,"sepsis"
"GSM5860288",9.92457702059844,7.93026805168864,7.64427947446683,2.48302835331681,12.9495357567347,9.9765032755864,8.20050058168309,9.83797576483501,6.6622072920297,10.9258024985288,11.7771166033318,10.0713951753267,8.69289256643794,3.06220795927601,5.40621460090151,8.03950747903228,3.85857088226403,5.40621460090151,4.0535184180362,4.22004340838225,11.8027885088927,10.7060271069184,3.47338676895551,10.3409077674344,10.5504441956303,11.9196202845725,11.4815261200032,11.2189724488979,8.42415445817581,5.55597665282807,10.2743831302595,12.0415126283603,6.25783548420501,5.88391375577181,9.04188681785543,13.8816570112179,15.7038093582687,10.2944547888265,2.48302835331681,2.48302835331681,3.47338676895551,14.0152014993468,13.2649792904072,6.46679817055707,10.400606089618,11.9479078325195,10.6595414736523,3.61956389461435,13.1863166240473,2.48302835331681,11.5300022388326,8.4842677930566,9.32883412470585,"sepsis"
"GSM5860291",9.40022254462863,9.63875719404777,9.29746959010429,2.48302835331681,13.3542081502772,10.2596700185616,8.5285664698918,10.362113601605,7.72188569984342,11.582977775633,10.2050386659337,10.1774835669035,9.91721774718106,2.48302835331681,4.34804088127265,9.39448932298236,3.7330166669956,5.7406986656195,4.03774440482765,4.27763661861085,12.8688802613605,8.1472244813943,3.28806612583325,9.6723123080834,11.8298549536913,11.2280674817293,12.0255279079469,11.980955092385,8.37396945453226,5.24981808588387,9.54698650512232,12.0792256408026,11.9532751004525,5.83494804775503,9.69425646008951,14.5195649682588,16.3247346905633,11.5528409049397,2.48302835331681,2.48302835331681,3.28806612583325,13.3393648559069,13.5226623588076,7.07796829750986,10.3844593424039,12.4688387871554,11.3662794615172,3.28806612583325,12.0024717197894,2.48302835331681,11.5420776698708,11.3059713219675,11.3361913075718,"sepsis"
"GSM5860295",10.4691111429334,10.1022825247178,8.192402951904,3.06425646158432,14.7734028591633,8.97232832773603,5.20984425799752,11.3218352392164,6.08205088323365,12.4279530343687,10.1763979931371,9.98278505417406,10.7083737248736,3.06425646158432,2.48302835331681,9.92662575521409,3.6234384757253,6.99714281237735,5.91481741211529,3.4768029358961,14.1896043913507,11.9117767761131,2.48302835331681,10.5197013940656,13.6341348641944,13.4836750256134,13.0153899626935,12.5621439934299,8.14160188370639,4.43947810473473,10.6166972168341,12.7055169964764,14.0751810941769,5.5922730273569,8.41483357539924,16.4775212992222,17.9202415343089,14.7756754052855,2.48302835331681,2.48302835331681,2.48302835331681,14.976468875244,14.8470642534092,7.08788226391282,12.4313203656787,13.4799633592041,11.0054853040229,3.29963427321324,15.3181975205291,2.48302835331681,12.3176467273711,11.7338716794766,12.0744460256731,"sepsis"
"GSM5860299",10.5535033778282,8.5608047431866,6.69643415698703,2.48302835331681,14.3645151681902,8.49190701304018,7.10220657697717,10.4778002830755,5.09919976870422,12.1729100015704,8.84820605595574,10.5793899246476,9.18616975390722,2.48302835331681,4.11988740822949,8.50468120596759,3.55019927005242,4.25947880543153,4.49843808437061,2.48302835331681,13.6704368709684,13.3692128577628,2.48302835331681,11.1623565979234,13.5248343605195,13.1341434498447,12.5737535715995,11.7399213990199,6.06030905506907,3.55019927005242,9.81802369370859,12.1628737431485,13.9418304809614,5.40790023342698,7.88707588281304,17.9724840167815,18.5375521552951,15.4241320491621,2.48302835331681,2.48302835331681,2.48302835331681,14.7369768628563,14.8503646602,6.71859162949496,10.8129579242769,12.9374190931016,9.48578561068078,2.48302835331681,16.1851805875076,3.55019927005242,12.1553004636827,11.4275772136853,10.7673183548305,"sepsis"
